Name,City,Address,Lat,Lng,Code,Unknown 1,Unknown (City) 2,Timing (Mon-to-Sat),Timing (Friday),Status,Break,Unknown 3,Unknown 4,Unknown 5
MEHREEN TELECOM,Gujranwala,CHOWK ZAFARWAL BY PASS NEAR BUS STAND NAROWAL,32.109194,74.872471,UFRNRW0002,1,SIALKOT,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,4,
HATAF COMMUNICATION,SHAKAR GARH,Missile Chowk Railway Road Shakargarh,32.2523801,75.1662008,UFRSKH0001,1,SIALKOT,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,5,
Butt Communications,Lahore,135-1 GHAZALI ROAD SECOND ROUND ABOUT SAMANABAD LAHORE,31.536307,74.305263,UFRLHE0018,1,LAHORE,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,8,
TANVEER ASLAM,Lahore,E 105-1B ADJACENT MCB MAIN BOULEVARD DEFENCE LAHORE.,31.491461,74.377395,UFRLHE0008,1,LAHORE,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,10,
RAI COMMUNICATION,Kamalia,NEAR MCB KAMALIA,30.727724,72.645176,UFRKMA0001,1,SAHIWAL,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,16,
BILAL TELECOM,Lalamusa,NEAR NISAR HOSPITAL GT ROAD LALAMUSA,32.7039694,73.9507415,UFRGRT0005,1,GUJRANWALA,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,18,
STAR MOBILE,Dinga,FAWARA CHOWK. DINGA,32.645256,73.727638,UFRDNG0001,1,GUJRANWALA,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,21,
MOHSIN ASLAM,Lahore,UFONE FRANCHISE SHOP NO. G-12 REHMAN TOWERS NEAR JALAL SONS MAIN MARKET GULBERG II LAHORE,31.502922,74.348224,UFRLHE0023,1,LAHORE,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,22,
AURANGZEB WAHLAH,Lahore,N 127 R 5-3-B-111 NEAR SOCIAL SECURITY HOSPITAL G.T. ROAD SHAHDARA,31.616109,74.290351,UFRLHE0015,1,LAHORE,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,23,
Jamal Communication,Chicha_Watni,ALLAMA IQBAL ROAD NEAR MARATAB HOSPITAL CHICHAWATNI,30.528124,72.696928,UFRCWT0001,1,SAHIWAL,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,25,
Technology Bux,Lahore,Plot No 587 Near MCB Saddar Lahore Cantt,31.549915,74.37782,UFRLHE0005,1,LAHORE,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,28,
AHMED SAEED,Lahore,SHOPNo 35-A NEAR HAFIZ JUICE CORNEE GARHI SHAHU LAHORE,31.564121,74.344035,UFRLHE0009,1,LAHORE,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,29,
Ali Communication,NANKANA SAHIB,Ufone Franchise Near Nadra Office Shora Khotti Road Nankana Sahib,31.450028,73.706389,UFRNAN0001,1,LAHORE,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,30,
Tahir Communication,Taunsa Sharif,"Ufone Franchise Opp. British International School System, New College Road, Taunsa Sharif",30.712818,70.657761,UFRTNS0002,2,MULTAN,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,31,
Muhammadi Communication,Abdul Hakim,Multan Road Near UBL Bank Abdul Hakeem,30.55147,72.12486,UFRAHM0001,2,MULTAN,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,32,
DG Communication,D.G. Khan,Block No 5 College Road Dg Khan,30.05263,70.63649,UFRDGK0001,2,MULTAN,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,34,
Daudi\'sCommunication,D.G. Khan,Block No 1 Railway Road Dg Khan,30.053508,70.6344429,UFRDGK0002,2,MULTAN,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,35,
Usman Communication,Kot Addu,Near THQ Hospital GT Road,30.46564,70.96559,UFRKOT0002,2,SARGODHA,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,36,
Al-Hamdullah Telecommunication,Jampur,Opp. Shell petrol pump Rajanpur Road Jampur,29.64662,70.59324,UFRJPR0002,2,MULTAN,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,37,
Ahmed Communication,Kot Chutta,Opp. Childeren Clinic Jampur Road Kot Chutta,29.531503,70.390663,UFRKCT0001,2,MULTAN,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,39,
Prime Telecomm,FAISALABAD,"Butt Plaza, ABC Road, Gulfishan Colony, Near Ghosia Chowk, Faisalabad",31.408276,73.040142,UFRFSD0012,2,FAISALABAD,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,41,
Mushtaq Comm,Jhang,Yousaf Shah Road,31.27059,72.32257,UFRJHG0002,2,FAISALABAD,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,42,
Al Raza Telecomm,Shor Kot,Main Jhang Road Near Yamaha Showroom Sabir Chowk,30.83387,72.07841,UFRSRT0001,2,FAISALABAD,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,44,
Mashallah Linkers,Ahmed pur Sial,Main Bazar T. H. Q. Road,30.683861,71.761294,UFRAPS0001,2,FAISALABAD,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,45,
V Communication,D.G. Khan,Peer Qataal Road Near Chowk Choratah Dg Khan,30.06662,70.64073,UFRDGK0004,2,MULTAN,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,47,
Ali Communication,D.G. Khan,Fareedi Bazar Near General Bus StandÂ Dg Khan,30.055,70.6417,UFRDGK0003,2,MULTAN,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,49,
Muslim Communication,Sakhi Sarwar,Near Civil Hospital Sakhisarwar,29.98024,70.30534,UFRSSR0001,2,MULTAN,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,50,
Ameena Telecomm,Pindi Bhattian,Hafizabad Road Near PTCL Exchange,31.903745,73.271311,UFRPBH0001,2,FAISALABAD,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,56,
BISMILLAH MOBILES,Bhakkar,Near GPO Bhakkar,31.62296,71.06303,UFRBKR0001,2,SARGODHA,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,58,
Ashraf Communication,Karor Lal Eisan,opp balouch bus stand near UBL bank Karor lal Eisan,31.220727,70.9537,UFRKLE0002,2,SARGODHA,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,60,
