Name,City,Address,Lat,Lng,Code,Unknown 1,Unknown (City) 2,Timing (Mon-to-Sat),Timing (Friday),Status,Break,Unknown 3,Unknown 4,Unknown 5
,Abbottabad,Small Industry Exchange Near Small Industry Mosque Mandian Abbottabad,34.14848,73.2098,CC_JS Abbottabad,5,,9:00 AM to 5:30 PM,,CLOSED,,1,688,1:00 PM to 2:00 PM
,Abbottabad,Near PTCL Exchange Pine View Road Abbottabad,34.08927,73.12608,JS-Abbottabad pine view,5,,09:00 am - 05:30 pm,,CLOSED,,1,689,1:00 PM - 2:00 PM
,Ahmed Pur East,PTCL Exchange Ahmadpur East,29.143814,71.257793,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,462,1:00 PM to 2:00 PM
,Alipur,PTCL Exchange Alipur,29.390539,70.916905,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,516,1:00 PM to 2:00 PM
,Arifwala,PTCL Exchange Qaboola Chowk Arifwala,30.286632,73.069275,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,532,1:00 PM to 2:00 PM
,Attock,Ufone PTCL Joint Shop Kutchery Road Opposite DPO Office Attock,33.77369,72.360575,CC_JS- ATTOCK,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,440,1:00 PM to 2:00 PM
,Bahawal Nagar,PTCL Telephone Exchange Bahawal Nagar,30.000101,73.25779,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,533,1:00 PM to 2:00 PM
,Bahawalpur,PTCL Exchange Model Town Bahawalpur,29.397637,71.66169,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,585,1:00 PM to 2:00 PM
,Bahawalpur,PTCL Exchange Satellite Town Bahawalpur,29.390975,71.710543,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,463,1:00 PM to 2:00 PM
,Bannu,Ufone PTCL Joint Shop Old PTCL Colony Near Mission Hospital Bannu,32.990589,70.604395,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,592,1:00 PM to 2:00 PM
,Bhalwal,PTCL OSS Adjacent Telephone Exchange Lari Adda Road,32.272381,72.900596,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,486,1:00 PM to 2:00 PM
,Burewala,PTCL Telephone Exchange Burewala,30.164213,72.68118,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,534,1:00 PM to 2:00 PM
,Chakwal,One Stop Shop PTCL Microwave Exchange Main Talagang Road Chakwal,32.9316705,72.8493728,CC_JS CHAKWAL,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,465,1:00 PM to 2:00 PM
,Charsadda,Near PTCL Exchange Nowshera Road Charsadda,34.15807,71.73484,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,572,1:00 PM to 2:00 PM
,Chichawatni,PTCL Exchange Chichawatni,30.529452,72.683214,CC_JS CHICHAWATNI,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,535,1:00 PM to 2:00 PM
,Chishtian,PTCL Telephone Exchange Chishtian,29.798502,72.85823,CC_JS CHISTIAN,1,,9:00 AM to 5:00 PM,,,,1,692,1:00 PM to 2:00 PM
,D.I. KHAN,"Ufone PTCL Joint Shop, Near Telephone Exchange D.I. Khan",31.821829,70.919578,CC_JS D.I. KHAN,5,,9:00 AM to 5:30 PM,,CLOSED,,1,702,1:00 PM to 2:00 PM
