Name,City,Address,Lat,Lng,Available Timing (Mon-to-Sat),Timing (Friday),Status,Serial No.
,Islamabad,Plot # 13-B F-7 Markaz Jinnah Super Market Islamabad,33.722747,73.058935,24/7 Available,,,1
,Lahore,15-SGulberg 2Mini Market Lahore,31.522718,74.354208,Mon - Sat (09:00 AM to 06:00 PM),,Off,2
,Karachi,D-3Block –DNear five star round about North Nazimabad Karachi.,24.94196,67.046148,Mon - Sat (09:00 AM to 06:00 PM),,Off,3
,Islamabad,I-10/3 Exchange Main Road I-10 Markaz Islamabad,33.64926,73.04097,24/7 Available,,,5
,Rawalpindi,Chaklala Exchange Near Fouji Tower Rawalpindi,33.606816,73.084646,24/7 Available,,,6
,Peshawar,Khyber Bazaar Opp lady reading hospitalPeshawar City,34.0104,71.5657,24/7 Available,,,7
,Peshawar,Civic Center Phase-II Hayatabad Peshawar,33.969616,71.443037,24/7 Available,,,8
,Lahore,2 CC  Ghazi Road Near PTCL Telephone Exchange S block DHA,31.473657,74.394071,24/7 Available,,,10
,Lahore,26 Civic Center Barkat Market Garden Town Lahore,31.49996,74.32049,24/7 Available,,,11
,Lahore,Gulshan Ravi Moon Market,31.551611,74.282889,24/7 Available,,,12
,Lahore,Guldasht Town Near Ranger Hqs,31.545885,74.41653,24/7 Available,,,13
,Lahore,1 Mcload Road PTCL CTH building,31.566137,74.31558,24/7 Available,,,14
,Lahore,PTCL Johar town exchangenear Shaukat khanam hospital lahore,31.46005,74.26268,24/7 Available,,,15
,Sialkot,Central Telephone Exchange Paris Road Sialkot,32.4989117,74.5383366,24/7 Available,,,16
,Faisalabad,Adjacent to PTCL Peoples Colony Exchange Near D-Ground Faisalabad.,31.409556,73.109212,24/7 Available,,,17
,Faisalabad,Central Telecom House outside Chiniot Bazar Faisalabad,31.424043,73.0785002,24/7 Available,,,18
,Karachi,Street-7/A Sector 11/I North KarachiKarachi,24.9762,67.06677,24/7 Available,,,19
,Karachi,Naseerabad F.B. Area Azizabad Karachi,24.930698,67.069918,24/7 Available,,,20
,Karachi,Central Exchange Bldg. Talpur Road Off: I I Chundriger Road Karachi,24.849779,67.002109,24/7 Available,,,21
,Karachi,Plaza Qtrs Noman Street OFF: M.A. Jinnah Rd Karachi,24.86351,67.02274,24/7 Available,,,22
,Karachi,37 KHY-E-MUHAFIZ Misrishah Karachi,24.792523,67.05788,24/7 Available,,,23
,,,0,0,,,,24
,Lahore,PTCL Telephone Exchange Sheikhupura Road Shahdara,31.6177,74.283561,24/7 Available,,,25
,Karachi,Korangi Telephone Exchange Korangi Industrial Area Near Bilal Chourangi Karachi,24.84025,67.14629,24/7 Available,,,26
,Karachi,Plot No. H-8 Site Karachi,24.90286,66.99118,24/7 Available,,,27
,Lahore,PTCL Exchange Main Ferozepur Road Kahna Nau Lahore,31.376275,74.364264,24/7 Available,,,28
,Rawalpindi,PTCL Smart Shop Kashmir Road Saddar Rawalpindi,33.593279,73.049251,Mon - Sat (09:00 AM to 06:00 PM),,Off,29
,Islamabad,Plot 13-B F-7 Markaz Jinnah Super Market Islamabad,33.722747,73.058935,24/7 Available,,,30
,Lahore,15-S Gulberg-II Mini Market Lahore,31.522718,74.354208,Mon - Sat (09:00 AM to 06:00 PM),,,31
,Karachi,D-3 Block-D Near Five Star Rroundabout North Nazimabad Karachi,24.94196,67.046148,Mon - Sat (09:00 AM to 06:00 PM),,,32
,Islamabad,I-10-3 Exchange Main Road I-10 Markaz Islamabad,33.649394,73.041005,24/7 Available,,,34
,Rawalpindi,Chaklala Exchange Near Fouji Tower Rawalpindi,33.606864,73.084952,24/7 Available,,,35
,Peshawar,Khyber Bazaar Opposite Lady Reading Hospital Peshawar City,34.009963,71.565975,24/7 Available,,,36
,Peshawar,Civic Center Phase-II Hayatabad Peshawar,33.9685889,71.443094,24/7 Available,,,37
,Lahore,2-CC Ghazi Road Near PTCL Telephone Exchange S-Block DHA Lahore,31.471616,74.391678,24/7 Available,,,39
,Lahore,26 Civic Center Barkat Market Garden Town Lahore,31.49996,74.32049,24/7 Available,,,40
,Lahore,Gulshan Ravi Moon Market Lahore,31.55203,74.282635,24/7 Available,,,41
,Lahore,Guldasht Town Near Ranger Headquarters Lahore,31.545885,74.41653,24/7 Available,,,42
,Lahore,1 Mcload Road PTCL CTH Building Lahore,31.566102,74.31554,24/7 Available,,,43
,Lahore,PTCL Johar Town Exchange Near Shaukat Khanam Hospital Lahore,31.46014,74.26262,24/7 Available,,,44
,Sialkot,Joint Shop Ufone PTCL Adjacent To Central Telephone Exchange Paris Road Sialkot,32.498972,74.538694,24/7 Available,,,45
,Faisalabad,Adjacent To PTCL Peoples Colony Exchange Near D-Ground Faisalabad,31.409556,73.109212,24/7 Available,,,46
,Faisalabad,Central Telecom House Outside Chiniot Bazar Faisalabad,31.423156,73.076347,24/7 Available,,,47
,Karachi,Street 7-A Sector 11-I North Karachi Karachi,24.976131,67.066474,24/7 Available,,,48
,Karachi,Naseerabad FB Area Azizabad Karachi,24.931042,67.070356,24/7 Available,,,49
,Karachi,Central Exchange Building Talpur Road Off II Chundriger Road Karachi,24.849779,67.002109,24/7 Available,,,50
,Karachi,Plaza Quarters Noman Street Off MA Jinnah Road Karachi,24.863674,67.022629,24/7 Available,,,51
,Karachi,Plot-37 Khayaban-e-Muhafiz Phase-VI DHA PTCL Misrishah Exchange Karachi,24.837305,67.060176,24/7 Available,,,52
,Lahore,PTCL Telephone Exchange Sheikhupura Road Shahdara,31.6180443,74.283427,24/7 Available,,,54
,Karachi,Korangi Telephone Exchange Korangi Industrial Area Near Bilal Chourangi Karachi,24.84025,67.14629,24/7 Available,,,55
,Karachi,Plot No H-8 Site Karachi,24.902976,66.99093,24/7 Available,,,56
,Lahore,PTCL Exchange Main Ferozepur Road Kahna Nau Lahore,31.376275,74.364264,24/7 Available,,,57
,Rawalpindi,PTCL Smart Shop Kashmir Road Saddar Rawalpindi,33.05933113,73.0493108,Mon - Sat (09:00 AM to 06:00 PM),,,58
,Lahore,Plot No 1-B4 Wapda Town Lahore,31.4394835,74.2810029,Mon - Sat (0900-1600),,,59
,Lahore,02 Abid Majeed Road Cantt Lahore,31.522359,74.380454,Mon - Sat (09:00 AM to 06:00 PM),,,60
,Lahore,11-Egerton Road Lahore,31.560687,74.3296,Mon - Sat (0900-1600),,,61
,Karachi,Orangi Town Exchange Building Sector 4 Orangi Town Karachi,24.937649,66.998696,0700-0000,,,62
,,6-A Civic Centre Faisal Town Lahore,31.4751,74.307,,,,69
,Lahore,6-A Civic Centre Faisal Town Lahore,31.4751,74.307,,,,71
,Rawalpindi,PTCL Complex 7th Road Satellite Town Rawalpindi,33.6451,73.0699,,,,72
,Islamabad,G-10 Markaz Near Post Office 3rd Road Islamabad,33.6791,73.0175,,,,74
