Name,City,Address,Lat,Lng
AMIR COM,Karachi,PLOT NO20798 SEC 50/A KORANGI 4 KARACHI,,
amir com,Karachi,h no 2 st no 11 sec 35/b korangi no 5 karachi,,
NOMAN COMM,Karachi,SHOP NO 1 4/D 85/12 LANDHI NO 6 KARACHI\,,
TAHIR SUPER STORE,Karachi,"SHOP # 1, H # Q-8,9 SHEET-27 MODEL COLONY KARACHI",,
Bismillah Hamza Communication,Karachi,Shop # 3/5 E Abbasi Market Model Colony Karachi,,
SAAD COMMUNICATION,Karachi,"SHOP 3 TAHIR COMPLEX OPP. AHMED SWEETS SADDAR, KARACHI",,
HY Communication,Karachi,"H# 3/16, Commercial Area , Shah Faisal Colony 3, Karachi",,
Bakkar Comm,Karachi,"NA, Shop No 3 Plot 12/2 Sec 11-F New Khi, Karachi, NA Karachi, Karachi G.P.O.",,
Haroon G/S & Bakery,Karachi,"M-C130-132 mujhaid colony nazamabad near fire station Nazamabad Pathan colony karachi, Karachi, N/A Karachi, Karachi Nazi",,
Shaikh Salman Communication,Karachi,"Shop no L-S 21 , Sec 8 L , Main Road Qatar Hospital , Orangi Town, Karachi, N/A Karachi, Abbottabad",,
S.S.Communication,Karachi,"NA, H#661,Thorani Goth,Orangi Town Sec 15-D KHI, Karachi, NA Karachi, Karachi G.P.O.",,
HUSSAIN COMMUNICATION,Karachi,SHOP NO. 1 PATHAN COLONY SITE TOWN KARACHI,,
IQRA Communication,Karachi,Khwaja Ghareeb Nawaz Market Oragi Town #10 Karachi,,
Ahmed Communication,Karachi,"Shop no 01 , Main Islam Chowck , Sec 11.1/2 , Orangi Town , Karachi, Karachi, N/A Karachi, Abbottabad",,
Aryan Estate Builders,Karachi,"Office No.13-AB,Plot No.ST-6",,
Bilal Communication,Karachi,"H # C1-69 , Sec 11 , Bait-ul-Hammad , Near 5 no Chowrangi , Orangi town , Karachi, Karachi, N/A Karachi, Abbottabad",,
SADAF COMMUNICATION,Karachi,"NA, SHOP NO 3 HOUSE L-1415 RABBI COLONY SECTOR NO 10 ORANGI TOWN KARACHI, Karachi, NA Karachi, Karachi G.P.O.",,
Hakeem Communication,Karachi,"NA, Shop #3&9, Khaiber market, Matrovil SITE, karachi, Karachi, NA Karachi, Karachi G.P.O.",,
New Faisal,Karachi,"Baacha Khan Chowk,sharah Banarus,Orangi Town Khi, Karachi, N/A Karachi, Abbottabad",,
Nadia Communication,Karachi,"shop 2, Plot 454 sector P-4 bijli nagar, Karachi, N A Karachi, Karachi G.P.O.",,
New Uneque Communication,Karachi,Shop #1; Faqeer Colony ;Orangi Town karachi,,
Junaid Communication,Karachi,Shop # 2; Labour Squire; SITE karachi,,
Mukhtar Communication,Karachi,"NA, Shop # 3, Near Banooria masjid , SITE Karachi, Karachi, NA Karachi, Karachi G.P.O.",,
A F Communication,Karachi,Shop #1; Sector #10 Orangi Town ; Karachi,,
MS communication,Karachi,Shop no; 01 Al Sadaf Chowk; Orangi Town Karachi,,
wasi comminication,Karachi,House No L-652 sector 52 NORTH KARACHI,,
Al Azmat Comm,Karachi,House No R-89 Sector 5-B/1 North karachi,,
Talha Communication,Karachi,Shop No 4 Sec 12-B North Karachi,,
Sharazi Mobile Zone,Karachi,"Shop#2.Sec.5-G .Block D Haji Ibraheem Khamisa Ghoth, Karachi, N/A Karachi, Karachi Korangi",,
Khan Cammunication,Karachi,"Shop#1,Sec5-f,Block.85/1 new Karachi, Karachi, N/A Karachi, Karachi Korangi",,
KARACHI COMMUNICATION,Karachi,SHOP#3 PLOTE#4C/8 NAZIMABAD#4 NEAR ABDULLAH FLOOR MILL,,
MAHNOOR COMMUNICATION,Karachi,SHOP NO 1 CHOTA MAIDAN NAZIMABAD KARACHI,,
ComputerTec & Comm,Karachi,"S.No, 27,Anum Pride Shaheed -e-Millat Road Karachi.",,
Bismillah comm,Karachi,"1, Shop # F-114/1 malir khokrapar No 2 karachi, Karachi, N/A Karachi, Karachi Cantt",,
GHANI COMM,Karachi,SHOP # 1 ADAMJEE ROAD LANDHI KARACHI,,
Big Bite Comm,Karachi,"Shop No 02, Machi Market garden west karachi.",,
Zubair Communication,Karachi,"Plot # 2/1 Shop # 01, Central Jacob Line Near German Hotel Khi, Karachi, NA Karachi, Karachi City G.P.O.",,
Zeeshan Pco & G.Store,Karachi,"Shop # 03 Al-Malik Centre Near G-3 Bus Stop Jahang, Shop # 03 Al-Malik Centre Near G-3 Bus Stop Jahang, Karachi, N A Karachi,",,
Pak Madina Photo Stat,Karachi,"Shop # 01, Bilal Masjid Preedy Police Station Khi, Karachi, NA Karachi, Karachi City G.P.O.",,
Iqbal Office,Karachi,"Shop#1,KECHS Market Near Ambala Sweet, Karachi, N/A Karachi, Karachi City G.P.O.",,
Khailgee Communication,Karachi,"Pak Jamhooria Colony, Near PNS Shifa., Karachi, N/A Karachi, Karachi Defence",,
786 store,Karachi,h no 554 g area korangi karachi,,
MashaAllah Photostate & PCO,Karachi,"Shop no 8, Hockey Stadium Road, Infront of NICH Hospital, Karachi., Karachi, N/A Karachi, Karachi Defence",,
Qudratuulah Mobile,Karachi,"Shop no 1, Khadija Market, Shamim Masjid, Dehli Colony., Karachi, N/A Karachi, Karachi Defence",,
IRFAN COM,Karachi,SHOP 5 STREET 6 DEHLI COL KARACHI,,
NASIR G/S,Karachi,BABA MIRA ROAD MACHER COLONY KARACHI,,
King Communication,Karachi,"Plot No 93-C, Shop No 3, Phase 4, 9th Commercial, DHA, Near Silk Bank., Karachi, N/A Karachi, Karachi Defence",,
AHMED COM,Karachi,"SHOP#E-8 YOSUF PLAZA BL#16 FB AREA KHI, Karachi, N/A Karachi, Karachi City G.P.O.",,
Muhammadi Medical,Karachi,H#L-282 sector 5/D Surjani town karachi,,
Asad Communication,Karachi,"Shop # 03, N-639, Sector 7-C, Surjani Town, Karachi, Karachi, N/A Karachi, Karachi Korangi",,
AL MAKKAH MOBILE,Lahore,ANUM ROAD LAHORE,,
KARMAWALA MOBILE,Lahore,MOHALA SITARA COLONY CHUNGI AMAR SIDU LAHORE,,
Al Rehman Mobile,Lahore,zaildar road ichra lahore,,
6th Cell Communication,Lahore,Koonj Pura Sabzazar B Block Multan Road Lahore,,
Aqib Mobile,Lahore,Kasmiri Street Niazi Adda Band Road Lahore,,
MUGHAL COMMUNICATION,Lahore,MAIN SPORTS CAFE OPP FOOTBALL STADIUM UET GT ROAD LAHORE,,
NAVEED MOBILE,Lahore,MAIN GHAZI ROAD LAHORE,,
Mobi Zone,Lahore,Lyton Road Janaz Gah Chowk Near HBL Bank Lahore,,
M.S Mobile,Sheikhupura,Lahore hotel bazar,,
Qurashi Mobile,Lahore,Firdous Market Gulberg lahore,,
Sadad Mobile,Lahore,Rehmat chowk madina colony cantt lahore,,
Maqsood Madical Store,Lahore,Kohariyan Barki Lahore,,
Ayyan Mobile,Lahore,Bhatta Chowk DHA Lahore,,
Maxi audio,Lahore,Main Defence Morh DHA Lahore,,
